source, target, volume
1:F2, 5:A1, 1 
2:B2, 5:A1, 1 
3:A5, 5:A1, 1 
4:A1, 5:A1, 10 
4:A2, 5:A1, 7 
1:F2, 5:A2, 1 
2:A10, 5:A2, 1 
3:A5, 5:A2, 1 
4:A1, 5:A2, 10 
4:A2, 5:A2, 7 
1:F2, 5:A3, 1 
2:A12, 5:A3, 1 
3:A5, 5:A3, 1 
4:A1, 5:A3, 10 
4:A2, 5:A3, 7 
1:F2, 5:A4, 1 
2:B4, 5:A4, 1 
3:A5, 5:A4, 1 
4:A1, 5:A4, 10 
4:A2, 5:A4, 7 
1:F2, 5:A5, 1 
2:B6, 5:A5, 1 
3:A5, 5:A5, 1 
4:A1, 5:A5, 10 
4:A2, 5:A5, 7 
1:F2, 5:A6, 1 
2:B8, 5:A6, 1 
3:A5, 5:A6, 1 
4:A1, 5:A6, 10 
4:A2, 5:A6, 7 
1:F2, 5:A7, 1 
2:B10, 5:A7, 1 
3:A5, 5:A7, 1 
4:A1, 5:A7, 10 
4:A2, 5:A7, 7 
